,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
1534,24,04/06/2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,"50,000,000",Late Stage
1535,25,05/06/2015,kWatt Solutions,Renewable energy solutions,Mumbai,N/A,Seed Funding,"500,000",
1536,26,05/06/2015,Medwell Ventures,"Healthcare
Service provider",Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"10,000,000",Series A
1537,27,05/06/2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,"5,000,000",Series A
1538,28,08/06/2015,PosterGully,Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.",Seed Funding,N/A,
1539,29,08/06/2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"40,000,000",Series B
1540,30,09/06/2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,"5,000,000",Series A
1541,31,09/06/2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"16,500,000",Series B
1542,32,09/06/2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,"234,000",
1543,33,09/06/2015,Printland,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,N/A,Series A
1544,34,09/06/2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,"140,000",
1545,35,10/06/2015,Guiddoo,Travel Guide Mobile App,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,N/A,
1546,36,10/06/2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"5,000,000",Series A
1547,37,11/06/2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",Seed Funding,"350,000",
1548,38,11/06/2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"250,000",Pre-Series A
1549,39,12/06/2015,La Renon,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"16,000,000",Series A
1550,40,15/06/2015,Homelane,Home Furnishing Solutions,Bangalore,Sequoia Capital,Private Equity,"50,000,000",Series B
1551,41,15/06/2015,iSTAR,Skill Training & Placement Platform,Bangalore,Unitus Seed Fund,Private Equity,N/A,Series A
1552,42,15/06/2015,Shippr,Intra-City Logistics service,Bangalore,i2india Pvt Ltd,Seed Funding,"500,000",
1553,43,16/06/2015,FoodAbhi,online tiffin service aggregator,Mumbai,Group of angel investors,Seed Funding,N/A,
1554,44,16/06/2015,Karma Recycling,Electronic Goods recycling service,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,N/A,Series A
1555,45,16/06/2015,CouponRaja,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"500,000",
1556,46,17/06/2015,Babychakra,Parents & Kids Online platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,N/A,
1557,47,17/06/2015,Jiffstore,Online Grocery platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,N/A,additional funding round
1558,48,17/06/2015,MyDentist,Dental Clinic chain,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"8,200,000",Series C
1559,49,18/06/2015,Moovo,On-Demand Logistics Service,New Delhi,YouWeCan Ventures,Seed Funding,N/A,
1560,50,18/06/2015,Fracktal Works,3D Printer Manufacturer,Bangalore,Neoteric Infomatique Limited,Private Equity,"3,000,000",Series A
1561,51,18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,"5,000,000",Series A
1562,52,18/06/2015,HealthifyMe,Health & Fitness App,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,N/A,Series A
1563,53,18/06/2015,CAKART.in,Online Education Marketplace,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,N/A,
1564,54,19/06/2015,Housejoy,Home services marketplace,Bangalore,Matrix Partners,Private Equity,"4,000,000",Series A
1565,55,19/06/2015,FundsIndia.com,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"11,000,000",Series C
1566,56,20/06/2015,Cupick,Social Network for Artists,Bangalore,Group of Angel Investors from US/India,Seed Funding,"120,000",
1567,57,20/06/2015,Tracxn,Startup funding platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"10,000,000",Series A
1568,58,21/06/2015,Holachef,Food Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"3,100,000",Series A
1569,59,22/06/2015,belong,Data Driven recruitment recommendation,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"5,000,000",Series A
1570,60,22/06/2015,Ixigo,Travel Search Engine,Gurgaon,Micromax Informatics,Private Equity,N/A,Strategic Investment
1571,61,22/06/2015,SkillAngels,Brain Games Platform,Chennai,Sprout Angels LLP,Seed Funding,N/A,
1572,62,22/06/2015,Vidgyor,Video Advertisement Platform,Bangalore,AngelPrime,Seed Funding,"500,000",
1573,63,22/06/2015,Banihal,Algorithmic Match Making Platform,New Delhi / California,Dr David Cheriton,Seed Funding,N/A,
1574,64,23/06/2015,Goodservice,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,"1,600,000",Series A
1575,65,23/06/2015,Treebo,Online Budget Hotel Booking Service,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"6,000,000",Series A
1576,66,23/06/2015,EduKart,Online education marketplace,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"1,000,000",Series A
1577,67,23/06/2015,Healthians.com,Preventive healthcare services,Hyderabad,YouWeCan Ventures,Seed Funding,N/A,
1578,68,24/06/2015,LabInApp,Science Learning App,Bangalore,Unitus Seed Fund,Seed Funding,N/A,
1579,69,24/06/2015,Syona Cosmetics,Beauty and Wellness platform,Chennai,Chennai Angels,Seed Funding,N/A,
1580,70,24/06/2015,Sigrid Education,Online Education Platform,Noida,Oliphans Capital,Seed Funding,N/A,
1581,71,24/06/2015,Indix,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000",Series C
1582,72,24/06/2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"5,500,000",Series A
1583,73,24/06/2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000",
1584,74,25/06/2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"8,600,000",Series C
1585,75,25/06/2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"6,000,000",Series A
1586,76,26/06/2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"2,500,000",Series A
1587,77,26/06/2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"250,000",
1588,78,29/06/2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"10,000,000",Series A
1589,79,29/06/2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,N/A,
1590,80,29/06/2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"1,000,000",
1591,81,29/06/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"400,000",
1592,82,30/06/2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,N/A,
1593,83,30/06/2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,N/A,Pre-Series A
1594,84,30/06/2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,N/A,
1595,85,30/06/2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"2,500,000",Strategic Funding
1596,86,30/06/2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"1,500,000",Series A
1597,,,,,,,,,
1598,1,01/9/2016,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,N/A
1599,2,01/9/2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,"6,700,000"
1600,3,01/9/2016,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,N/A
1601,4,01/9/2016,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,N/A
1602,5,04/9/2016,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,N/A
1603,6,05/9/2016,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,N/A
1604,7,05/9/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,N/A
1605,8,06/9/2016,eShakti,eCommerce,Women’s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"1,350,000"
1606,9,06/9/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"500,000"
1607,10,06/9/2016,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,N/A
1608,11,06/9/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"900,000"
1609,12,07/9/2016,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"8,000,000"
1610,13,07/9/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,"500,000"
1611,14,07/9/2016,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,"6,000,000"
1612,15,07/9/2016,Prozo,eCommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"315,000"
1613,16,08/9/2016,TopRankers,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"670,000"
1614,17,08/9/2016,BuildTraders,eCommerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,"200,000"
1615,18,09/9/2016,Byju’s,Education,Online Learning App,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"50,000,000"
1616,29,09/9/2016,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,N/A
1617,20,10/9/2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,N/A
1618,21,10/9/2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"150,000"
1619,22,10/9/2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,"450,000"
1620,23,10/9/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,N/A
1621,24,12/9/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"448,000"
1622,25,12/9/2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,"3,000,000"
1623,26,12/9/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"12,300,000"
1624,27,12/9/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"300,000"
1625,28,13/9/2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,N/A
1626,29,13/9/2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,N/A
1627,30,13/9/2016,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,N/A
1628,31,13/9/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"2,500,000"
1629,32,14/9/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,N/A
1630,33,14/9/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"150,000"
1631,34,14/9/2016,LensPick,eCommerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,N/A
1632,35,15/9/2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,  Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"200,000"
1633,36,15/9/2016,Furlenco,eCommerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,"5,000,000"
1634,37,15/9/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,"1,500,000"
1635,38,16/9/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"100,000"
1636,39,16/9/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,"1,000,000"
1637,40,19/9/2016,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,"750,000"
1638,41,19/9/2016,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capital,Private Equity,N/A
1639,42,19/9/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,"15,000,000"
1640,43,20/9/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,N/A
1641,44,20/9/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"500,000"
1642,45,20/9/2016,JoeHukum,Technology,Enterprise customer engagement solutions,New Delhi,Sumit Jain,Seed Funding,N/A
1643,46,21/9/2016,Co Life,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000"
1644,47,21/9/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,N/A
1645,48,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"31,300,000"
1646,49,21/9/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"298,000"
1647,50,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,"350,000"
1648,51,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,"6,000,000"
1649,52,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,N/A
1650,53,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,"425,000"
1651,54,22/9/2016,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,"1,000,000"
1652,55,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000"
1653,56,23/9/2016, CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"6,000,000"
1654,57,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,N/A
1655,58,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,N/A
1656,59,23/9/2016,inMotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,N/A
1657,60,26/9/2016,Let’s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,N/A
1658,61,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,N/A
1659,62,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"1,580,000"
1660,63,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,N/A
1661,64,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"500,000"
1662,65,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"1,000,000"
1663,66,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"1,000,000"
1664,67,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"51,000,000"
1665,68,29/9/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"180,000"
1666,69,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,N/A
1667,70,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"1,500,000"
1668,71,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A
1669,72,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000"
1670,73,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,N/A
1671,74,30/9/2016,,,,,,,
1672,75,30/9/2016,,,,,,,
1673,76,,,,,,,,
1674,,,,,,,,,
1675,1,01/8/2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"12,000,000"
1676,2,01/8/2016,Medinfi,Consumer Internet,Doctor & Clinic  Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"200,000"
1677,3,01/08/2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"275,000"
1678,4,01/08/2016,Voonik,eCommerce,Online Women’s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,"3,000,000"
1679,5,01/08/2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"2,500,000"
1680,6,02/08/2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"1,800,000"
1681,7,02/08/2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,N/A
1682,8,02/08/2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"1,000,000"
1683,9,03/08/2016,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,N/A
1684,10,03/08/2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"225,000"
1685,11,03/08/2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"890,000"
1686,12,04/08/2016,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"500,000"
1687,13,04/08/2016,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,N/A
1688,14,05/08/2016,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,N/A
1689,15,06/08/2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000"
1690,16,08/08/2016,AdPushUp,Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,N/A
1691,17,08/08/2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000"
1692,18,08/08/2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,"445,000"
1693,19,08/08/2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,"200,000"
1694,20,09/08/2016,MobiDent,Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A
1695,21,09/08/2016,Zeolr/RespirON,Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,N/A
1696,22,10/08/2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"500,000"
1697,23,10/08/2016,Bombay Shaving Company,eCommerce,Men’s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"600,000"
1698,24,11/08/2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"7,000,000"
1699,25,11/08/2016,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,N/A
1700,26,11/08/2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,"209,000"
1701,27,11/08/2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"15,000,000"
1702,28,12/08/2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"1,500,000"
1703,29,12/08/2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,"1,500,000"
1704,30,12/08/2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"15,600,000"
1705,31,12/08/2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,"500,000"
1706,32,12/08/2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,N/A
1707,33,15/08/2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,N/A
1708,34,16/08/2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,N/A
1709,35,16/08/2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,"62,000,000"
1710,36,16/08/2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"175,000,000"
1711,37,16/08/2016,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"500,000"
1712,38,16/08/2016,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,"1,500,000"
1713,39,16/08/2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"250,000"
1714,40,16/08/2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,N/A
1715,41,17/08/2016,MaalGaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"375,000"
1716,42,17/08/2016,ZiPi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,N/A
1717,43,17/08/2016,Appknox,Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"675,000"
1718,44,17/08/2016,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,N/A
1719,45,18/08/2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,N/A
1720,46,18/08/2016,Sesame Software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,N/A
1721,47,19/08/2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"20,000,000"
1722,48,19/08/2016,Digio,Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,"375,000"
1723,49,19/08/2016,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,N/A
1724,50,22/08/2016,Zzungry,Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,N/A
1725,51,22/08/2016,Puro Wellness,healthcare,"Organic,  Natural  Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,"37,000,000"
1726,52,22/08/2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,N/A
